work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,experience_name,employment_name,remote_name,salary_log_usd,tunisian_record,employee_continent,company_continent
2020,MI,FT,Data Scientist,70000,EUR,79833,DE,0,DE,L,Mid-level,Full-time,On-site,11.28770475786082,False,Europe,Europe
2020,SE,FT,Machine Learning Scientist,260000,USD,260000,JP,0,JP,S,Senior-level,Full-time,On-site,12.468440756144114,False,Asia,Asia
2020,SE,FT,Big Data Engineer,85000,GBP,109024,GB,50,GB,M,Senior-level,Full-time,Hybrid,11.599332492710968,False,Europe,Europe
2020,MI,FT,Product Data Analyst,20000,USD,20000,HN,0,HN,S,Mid-level,Full-time,On-site,9.90353755128617,False,North America,North America
2020,SE,FT,Machine Learning Engineer,150000,USD,150000,US,50,US,L,Senior-level,Full-time,Hybrid,11.918397239722838,False,North America,North America
2020,EN,FT,Data Analyst,72000,USD,72000,US,100,US,L,Entry-level,Full-time,Fully remote,11.184435286790631,False,North America,North America
2020,SE,FT,Lead Data Scientist,190000,USD,190000,US,100,US,S,Senior-level,Full-time,Fully remote,12.154784614286667,False,North America,North America
2020,MI,FT,Data Scientist,11000000,HUF,35735,HU,50,HU,L,Mid-level,Full-time,Hybrid,10.483913863031955,False,Other,Other
2020,MI,FT,Business Data Analyst,135000,USD,135000,US,100,US,L,Mid-level,Full-time,Fully remote,11.813037464800539,False,North America,North America
2020,SE,FT,Lead Data Engineer,125000,USD,125000,NZ,50,NZ,S,Senior-level,Full-time,Hybrid,11.736077016252437,False,Oceania,Oceania
2020,EN,FT,Data Scientist,45000,EUR,51321,FR,0,FR,S,Entry-level,Full-time,On-site,10.845874789131557,False,Europe,Europe
2020,MI,FT,Data Scientist,3000000,INR,40481,IN,0,IN,L,Mid-level,Full-time,On-site,10.60861270985548,False,Asia,Asia
2020,EN,FT,Data Scientist,35000,EUR,39916,FR,0,FR,M,Entry-level,Full-time,On-site,10.594557577300874,False,Europe,Europe
2020,MI,FT,Lead Data Analyst,87000,USD,87000,US,100,US,L,Mid-level,Full-time,Fully remote,11.373674891823535,False,North America,North America
2020,MI,FT,Data Analyst,85000,USD,85000,US,100,US,L,Mid-level,Full-time,Fully remote,11.350418300109132,False,North America,North America
2020,MI,FT,Data Analyst,8000,USD,8000,PK,50,PK,L,Mid-level,Full-time,Hybrid,8.987321812850125,False,Asia,Asia
2020,EN,FT,Data Engineer,4450000,JPY,41689,JP,100,JP,S,Entry-level,Full-time,Fully remote,10.638016570874843,False,Asia,Asia
2020,SE,FT,Big Data Engineer,100000,EUR,114047,PL,100,GB,S,Senior-level,Full-time,Fully remote,11.644374691390427,False,Europe,Europe
2020,EN,FT,Data Science Consultant,423000,INR,5707,IN,50,IN,M,Entry-level,Full-time,Hybrid,8.649623978596727,False,Asia,Asia
2020,MI,FT,Lead Data Engineer,56000,USD,56000,PT,100,US,M,Mid-level,Full-time,Fully remote,10.933124826700707,False,Europe,North America
2020,MI,FT,Machine Learning Engineer,299000,CNY,43331,CN,0,CN,M,Mid-level,Full-time,On-site,10.676646671065457,False,Asia,Asia
2020,MI,FT,Product Data Analyst,450000,INR,6072,IN,100,IN,L,Mid-level,Full-time,Fully remote,8.711607995897575,False,Asia,Asia
2020,SE,FT,Data Engineer,42000,EUR,47899,GR,50,GR,L,Senior-level,Full-time,Hybrid,10.776870783399007,False,Europe,Europe
2020,MI,FT,BI Data Analyst,98000,USD,98000,US,0,US,M,Mid-level,Full-time,On-site,11.49273296168228,False,North America,North America
2020,MI,FT,Lead Data Scientist,115000,USD,115000,AE,0,AE,L,Mid-level,Full-time,On-site,11.652696102959753,False,Asia,Asia
2020,EX,FT,Director of Data Science,325000,USD,325000,US,100,US,L,Executive,Full-time,Fully remote,12.691583538230217,False,North America,North America
2020,EN,FT,Research Scientist,42000,USD,42000,NL,50,NL,L,Entry-level,Full-time,Hybrid,10.645448706505872,False,Europe,Europe
2020,SE,FT,Data Engineer,720000,MXN,33511,MX,0,MX,S,Senior-level,Full-time,On-site,10.419658862626871,False,North America,North America
2020,EN,CT,Business Data Analyst,100000,USD,100000,US,100,US,L,Entry-level,Contract,Fully remote,11.51293546492023,False,North America,North America
